Control ID,Control Label,Description,RISK ID
CONTROL-019,Implement content safety incident response,"Establish procedures for investigating, documenting, and remediating harmful content incidents that bypass moderation systems, including coordination with relevant authorities, root cause analysis, and system improvement protocols. Include specific procedures for suspected malicious use cases.","['RISK-013', 'RISK-014', 'RISK-015', 'RISK-026', 'RISK-027']"
CONTROL-021,"Establish frontier AI safety framework (Alaga et al., 2024)","Establish and enforce policies governing system AI scaling decisions, including risk assessment requirements, capability thresholds, and deployment constraints. Define clear criteria for when and how system","['RISK-029', 'RISK-028', 'RISK-027', 'RISK-002', 'RISK-003']"
CONTROL-022,Implement adversarial testing and red team program,"Conduct systematic adversarial testing and red team exercises focused on probing AI system capabilities, identifying potential misuse vectors, and exposing unintended harmful behaviors. Testing should explore ways the system could be manipulated to produce dangerous outputs, bypass safety guardrails, or exhibit undesired emergent behaviors. Include scenarios involving both individual and coordinated attempts to exploit the system's capabilities.","['RISK-026', 'RISK-027', 'RISK-028', 'RISK-029', 'RISK-002', 'RISK-003', 'RISK-035']"
CONTROL-023,Implement system usage monitoring and prevention,"Monitor and prevent malicious or otherwise disallowed behavioral patterns including automated abuse, coordination across accounts, and systematic manipulation attempts.","['RISK-036', 'RISK-026', 'RISK-027', 'RISK-028', 'RISK-029']"
CONTROL-025,Implement AI System Disclosure Requirements,"Deploy mechanisms to ensure clear, timely disclosure of AI system use to end users, including automated notifications of AI involvement in interactions, explicit identification of AI-generated content, and clear communication of when users are interacting with AI systems.","['RISK-018', 'RISK-017']"
CONTROL-026,Implement a privacy protection framework,"Implement comprehensive privacy protection measures to prevent exposure of PII and sensitive information, including data minimization, anonymization procedures, and privacy-preserving inference techniques.","['RISK-036', 'RISK-037', 'RISK-036', 'RISK-037']"
CONTROL-028,Establish user rights and recourse framework,"Implement comprehensive mechanisms for user reporting, feedback collection, incident investigation, and recourse provision, including clear procedures for users to report issues, request explanations or corrections, appeal decisions, and receive appropriate remediation. The system should handle various types of user concerns including system","['RISK-010', 'RISK-012', 'RISK-016', 'RISK-035']"
CONTROL-029,Implement AI literacy and competency program,"Implement comprehensive training and education programs to ensure personnel develop and maintain appropriate levels of AI literacy, risk awareness, and operational competency. This includes role-based training on AI capabilities, limitations, safety protocols, ethical considerations, and proper system usage.","['RISK-016', 'RISK-016', 'RISK-046']"
CONTROL-032,Implement environmental impact management system,"Implement comprehensive environmental impact monitoring and optimization procedures, including energy efficiency measures, carbon",['RISK-004']
CONTROL-035,Establish societal impact assessment framework,"Implement comprehensive processes for assessing and documenting potential societal impacts of AI systems, including effects on employment, economic systems, power dynamics, and cultural value. Include stakeholder consultation and impact mitigation planning.","['RISK-042', 'RISK-044', 'RISK-043']"
CONTROL-036,Establish responsible development and deployment policy,"Establish policies and procedures governing AI system development and deployment decisions that consider societal implications, including competitive pressures, governance gaps, and benefit distribution.","['RISK-046', 'RISK-044', 'RISK-045', 'RISK-004']"
CONTROL-037,Implement AI alignment validation system,"Establish processes for validating and maintaining AI system alignment with human values and goals, including testing for goal preservation, monitoring for objective drift, and validation of decision-making processes against ethical standards. Includes specific attention to detecting and preventing potentially misaligned behaviors, emergent goals, or deceptive actions. Covers using interpretability techniques to measure","['RISK-002', 'RISK-003', 'RISK-009']"
CONTROL-040,Establish documentation sharing mechanism,"Implement a process to share information and documentation to thirdparties, including to regulators and downstream deployers or developers.",['RISK-046']
CONTROL-041,Implement a risk reporting mechanism,"Establish processes to identify and disclose known or reasonably foreseeable risks, the discovery of new risks, or instances of non-conformity to third parties.",['RISK-046']
CONTROL-042,Establish a general purpose incident response mechanism,"Establish processes to enable incident monitoring and reporting. This includes defining ""serious incidents"" or set a threshold for formal reporting based on regulatory requirements to third-parties, regulators, and impacted individuals.",['RISK-046']
